index,type,type,name,usage(KB),total(KB)
104,    menu,menu,demolitions_popup_cac_defaultclasswarning_sniper,7.7,7.7
105,    menu,menu,demolitions_pc_rename,4.6,4.6
106,    menu,menu,menu_cac_heavygunner,159.8,159.8
107,    menu,menu,heavygunner_popup_cac_primary,16.5,16.5
108,    menu,menu,heavygunner_popup_cac_primary2,16.5,16.5
109,    menu,menu,heavygunner_popup_cac_assault,115.2,115.2
110,    menu,menu,heavygunner_popup_cac_lmg,54.9,54.9
111,    menu,menu,heavygunner_popup_cac_smg,84.9,84.9
112,    menu,menu,heavygunner_popup_cac_shotgun,40.0,40.0
113,    menu,menu,heavygunner_popup_cac_sniper,85.0,85.0
114,    menu,menu,heavygunner_popup_cac_assault2,112.5,112.5
115,    menu,menu,heavygunner_popup_cac_lmg2,55.0,55.0
116,    menu,menu,heavygunner_popup_cac_smg2,85.0,85.0
117,    menu,menu,heavygunner_popup_cac_shotgun2,40.0,40.0
118,    menu,menu,heavygunner_popup_cac_sniper2,85.0,85.0
119,    menu,menu,heavygunner_attachment_popup_fake,11.3,11.3
120,    menu,menu,heavygunner_attachment_popup_pistol,44.6,44.6
121,    menu,menu,heavygunner_attachment_popup_assault,95.2,95.2
122,    menu,menu,heavygunner_attachment_popup_lmg,68.8,68.8
123,    menu,menu,heavygunner_attachment_popup_smg,67.0,67.0
124,    menu,menu,heavygunner_attachment_popup_shotgun,52.7,52.7
125,    menu,menu,heavygunner_attachment_popup_sniper,38.5,38.5
126,    menu,menu,heavygunner_attachment_popup_assault2,89.1,89.1
127,    menu,menu,heavygunner_attachment_popup_lmg2,68.8,68.8
128,    menu,menu,heavygunner_attachment_popup_smg2,67.0,67.0
129,    menu,menu,heavygunner_attachment_popup_shotgun2,52.7,52.7
130,    menu,menu,heavygunner_attachment_popup_sniper2,38.5,38.5
131,    menu,menu,heavygunner_popup_cac_secondary,103.1,103.1
132,    menu,menu,heavygunner_popup_cac_camo,110.5,110.5
133,    menu,menu,heavygunner_popup_cac_camo2,98.7,98.7
134,    menu,menu,heavygunner_popup_cac_extra,32.5,32.5
135,    menu,menu,heavygunner_popup_cac_perk1,88.3,88.3
136,    menu,menu,heavygunner_popup_cac_perk2,105.0,105.0
137,    menu,menu,heavygunner_popup_cac_perk3,99.8,99.8
138,    menu,menu,heavygunner_popup_cac_template,13.6,13.6
139,    menu,menu,heavygunner_popup_cac_defaultclasswarning_assault,7.7,7.7
140,    menu,menu,heavygunner_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
141,    menu,menu,heavygunner_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
142,    menu,menu,heavygunner_popup_cac_defaultclasswarning_demolitions,7.7,7.7
143,    menu,menu,heavygunner_popup_cac_defaultclasswarning_sniper,7.7,7.7
144,    menu,menu,heavygunner_pc_rename,4.6,4.6
145,    menu,menu,menu_cac_sniper,159.7,159.7
146,    menu,menu,sniper_popup_cac_primary,16.4,16.4
147,    menu,menu,sniper_popup_cac_primary2,16.4,16.4
148,    menu,menu,sniper_popup_cac_assault,114.8,114.8
149,    menu,menu,sniper_popup_cac_lmg,54.8,54.8
150,    menu,menu,sniper_popup_cac_smg,84.7,84.7
151,    menu,menu,sniper_popup_cac_shotgun,39.9,39.9
152,    menu,menu,sniper_popup_cac_sniper,84.7,84.7
153,    menu,menu,sniper_popup_cac_assault2,112.1,112.1
154,    menu,menu,sniper_popup_cac_lmg2,54.8,54.8
155,    menu,menu,sniper_popup_cac_smg2,84.7,84.7
156,    menu,menu,sniper_popup_cac_shotgun2,39.9,39.9
157,    menu,menu,sniper_popup_cac_sniper2,84.8,84.8
158,    menu,menu,sniper_attachment_popup_fake,11.3,11.3
159,    menu,menu,sniper_attachment_popup_pistol,44.3,44.3
160,    menu,menu,sniper_attachment_popup_assault,94.5,94.5
161,    menu,menu,sniper_attachment_popup_lmg,68.6,68.6
162,    menu,menu,sniper_attachment_popup_smg,66.9,66.9
163,    menu,menu,sniper_attachment_popup_shotgun,52.7,52.7
164,    menu,menu,sniper_attachment_popup_sniper,38.5,38.5
165,    menu,menu,sniper_attachment_popup_assault2,88.7,88.7
166,    menu,menu,sniper_attachment_popup_lmg2,68.6,68.6
167,    menu,menu,sniper_attachment_popup_smg2,67.0,67.0
168,    menu,menu,sniper_attachment_popup_shotgun2,52.7,52.7
169,    menu,menu,sniper_attachment_popup_sniper2,38.5,38.5
170,    menu,menu,sniper_popup_cac_secondary,102.4,102.4
171,    menu,menu,sniper_popup_cac_camo,109.4,109.4
172,    menu,menu,sniper_popup_cac_camo2,98.7,98.7
173,    menu,menu,sniper_popup_cac_extra,32.5,32.5
174,    menu,menu,sniper_popup_cac_perk1,88.3,88.3
175,    menu,menu,sniper_popup_cac_perk2,105.0,105.0
176,    menu,menu,sniper_popup_cac_perk3,99.8,99.8
177,    menu,menu,sniper_popup_cac_template,13.6,13.6
178,    menu,menu,sniper_popup_cac_defaultclasswarning_assault,7.7,7.7
179,    menu,menu,sniper_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
180,    menu,menu,sniper_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
181,    menu,menu,sniper_popup_cac_defaultclasswarning_demolitions,7.7,7.7
182,    menu,menu,sniper_popup_cac_defaultclasswarning_sniper,7.7,7.7
183,    menu,menu,sniper_pc_rename,4.6,4.6
184,    menu,menu,menu_cac_specops,159.7,159.7
185,    menu,menu,specops_popup_cac_primary,16.4,16.4
186,    menu,menu,specops_popup_cac_primary2,16.4,16.4
187,    menu,menu,specops_popup_cac_assault,114.9,114.9
188,    menu,menu,specops_popup_cac_lmg,54.8,54.8
189,    menu,menu,specops_popup_cac_smg,84.7,84.7
190,    menu,menu,specops_popup_cac_shotgun,39.9,39.9
191,    menu,menu,specops_popup_cac_sniper,84.8,84.8
192,    menu,menu,specops_popup_cac_assault2,112.2,112.2
193,    menu,menu,specops_popup_cac_lmg2,54.8,54.8
194,    menu,menu,specops_popup_cac_smg2,84.8,84.8
195,    menu,menu,specops_popup_cac_shotgun2,39.9,39.9
196,    menu,menu,specops_popup_cac_sniper2,84.8,84.8
197,    menu,menu,specops_attachment_popup_fake,11.3,11.3
198,    menu,menu,specops_attachment_popup_pistol,44.3,44.3
199,    menu,menu,specops_attachment_popup_assault,94.6,94.6
200,    menu,menu,specops_attachment_popup_lmg,68.6,68.6
201,    menu,menu,specops_attachment_popup_smg,67.0,67.0
202,    menu,menu,specops_attachment_popup_shotgun,52.7,52.7
203,    menu,menu,specops_attachment_popup_sniper,38.5,38.5
204,    menu,menu,specops_attachment_popup_assault2,88.8,88.8
205,    menu,menu,specops_attachment_popup_lmg2,68.6,68.6
206,    menu,menu,specops_attachment_popup_smg2,67.0,67.0
207,    menu,menu,specops_attachment_popup_shotgun2,52.7,52.7
208,    menu,menu,specops_attachment_popup_sniper2,38.5,38.5
209,    menu,menu,specops_popup_cac_secondary,102.5,102.5
210,    menu,menu,specops_popup_cac_camo,109.6,109.6
211,    menu,menu,specops_popup_cac_camo2,98.7,98.7
212,    menu,menu,specops_popup_cac_extra,32.5,32.5
213,    menu,menu,specops_popup_cac_perk1,88.3,88.3
214,    menu,menu,specops_popup_cac_perk2,105.0,105.0
215,    menu,menu,specops_popup_cac_perk3,99.8,99.8
216,    menu,menu,specops_popup_cac_template,13.6,13.6
217,    menu,menu,specops_popup_cac_defaultclasswarning_assault,7.7,7.7
218,    menu,menu,specops_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
219,    menu,menu,specops_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
220,    menu,menu,specops_popup_cac_defaultclasswarning_demolitions,7.7,7.7
221,    menu,menu,specops_popup_cac_defaultclasswarning_sniper,7.7,7.7
222,    menu,menu,specops_pc_rename,4.6,4.6
223,    menu,menu,menu_challenges,99.3,99.3
224,    menu,menu,popup_tier,383.6,383.6
225,    menu,menu,pc_join_unranked,41.7,41.9
226,    menu,menu,createserver,53.2,53.2
227,    menu,menu,password_popmenu,7.0,7.0
228,    menu,menu,serverinfo_popmenu,6.3,6.3
229,    menu,menu,createfavorite_popmenu,7.6,7.6
230,    menu,menu,fav_message_popmenu,4.3,4.3
231,    menu,menu,del_fav_popmenu,6.6,6.6
232,    menu,menu,filter_popmenu,33.6,33.6
233,    menu,menu,auconfirm,3.7,3.7
234,    menu,menu,startpb_popmenu,3.3,3.4
235,    menu,menu,joinpb_popmenu,3.3,3.3
236,    menu,menu,cdkey_menu,10.9,10.9
237,    menu,menu,player_profile,9.1,9.1
238,    menu,menu,profile_create_popmenu,7.2,7.2
239,    menu,menu,profile_must_create_popmenu,4.3,4.3
240,    menu,menu,profile_del_sure_popmenu,6.7,6.7
241,    menu,menu,profile_exists_popmenu,4.3,4.3
242,    menu,menu,profile_create_fail_popmenu,4.3,4.3
243,    menu,menu,profile_create_too_many_popmenu,4.3,4.3
244,    menu,menu,profile_delete_fail_popmenu,4.3,4.3
245,    menu,menu,language_restart_popmenu,3.2,3.2
246,    menu,menu,quit_popmenu,6.6,6.6
247,    menu,menu,settings_dm,2.1,2.1
248,    menu,menu,settings_tdm,2.0,2.0
249,    menu,menu,settings_ctf,2.0,2.0
250,    menu,menu,settings_hq,2.0,2.0
251,    menu,menu,settings_sd,4.6,4.6
252,    menu,menu,settings_sw,5.4,5.4
253,  menufile,menufile,ui_mp/menus.txt,1.0,13233.3
254,assetlist,assetlist,,0.9,13240.2
255,material,material,(misc),4.3,4.3
