index,zone,type,type,name,usage(KB),total(KB)
26,code_post_gfx_mp,  font,font,fonts/bigDevFont,2.3,2.4
27,code_post_gfx_mp,  font,font,fonts/consoleFont,6.0,6.1
28,code_post_gfx_mp,  font,font,fonts/smallDevFont,2.3,2.3
29,code_post_gfx_mp,  font,font,fonts/bigFont,6.0,6.0
30,code_post_gfx_mp,  font,font,fonts/smallFont,6.0,6.0
31,code_post_gfx_mp,  font,font,fonts/boldFont,6.0,6.0
32,code_post_gfx_mp,  font,font,fonts/normalFont,6.0,6.0
33,code_post_gfx_mp,  font,font,fonts/extraBigFont,6.0,6.0
34,code_post_gfx_mp,  font,font,fonts/objectiveFont,4.3,4.3
35,code_post_gfx_mp,  techset,techset,sm2/effect_nofog,1.1,1.1
36,code_post_gfx_mp,  techset,techset,effect_nofog,1.1,1.1
37,code_post_gfx_mp,  fx,fx,misc/missing_fx,0.9,1.0
38,code_post_gfx_mp,  impactfx,impactfx,default,1.5,1.5
39,code_post_gfx_mp,  techset,techset,sm2/tools,3.6,3.6
40,code_post_gfx_mp,  techset,techset,tools,3.3,3.3
41,code_post_gfx_mp,  techset,techset,sm2/depthprepass,1.6,1.6
42,code_post_gfx_mp,  techset,techset,depthprepass,1.6,1.6
43,code_post_gfx_mp,  techset,techset,sm2/filter_symmetric_3,1.1,1.1
44,code_post_gfx_mp,  techset,techset,filter_symmetric_3,1.1,1.1
45,code_post_gfx_mp,  techset,techset,sm2/filter_symmetric_4,1.2,1.2
46,code_post_gfx_mp,  techset,techset,filter_symmetric_4,1.2,1.2
47,code_post_gfx_mp,  techset,techset,sm2/filter_symmetric_5,1.4,1.4
48,code_post_gfx_mp,  techset,techset,filter_symmetric_5,1.3,1.3
49,code_post_gfx_mp,  techset,techset,sm2/filter_symmetric_6,1.6,1.6
50,code_post_gfx_mp,  techset,techset,filter_symmetric_6,1.4,1.4
51,code_post_gfx_mp,  techset,techset,sm2/filter_symmetric_7,1.7,1.7
52,code_post_gfx_mp,  techset,techset,filter_symmetric_7,1.6,1.6
53,code_post_gfx_mp,  techset,techset,sm2/filter_symmetric_8,1.9,1.9
54,code_post_gfx_mp,  techset,techset,filter_symmetric_8,1.7,1.7
55,code_post_gfx_mp,  techset,techset,sm2/glow_apply_sky_bleed,1.0,1.0
56,code_post_gfx_mp,  techset,techset,glow_apply_sky_bleed,1.0,1.0
57,code_post_gfx_mp,  techset,techset,sm2/glow_setup,2.2,2.2
58,code_post_gfx_mp,  techset,techset,glow_setup,2.2,2.2
59,code_post_gfx_mp,  techset,techset,sm2/glow_consistent_setup,1.7,1.7
60,code_post_gfx_mp,  techset,techset,glow_consistent_setup,1.7,1.7
61,code_post_gfx_mp,  techset,techset,sm2/postfx_dof,1.4,1.4
62,code_post_gfx_mp,  techset,techset,postfx_dof,1.2,1.2
63,code_post_gfx_mp,  techset,techset,sm2/postfx_dof_color,1.6,1.6
64,code_post_gfx_mp,  techset,techset,postfx_dof_color,1.4,1.4
65,code_post_gfx_mp,  techset,techset,sm2/dof_downsample,2.2,2.2
66,code_post_gfx_mp,  techset,techset,dof_downsample,2.2,2.2
67,code_post_gfx_mp,  techset,techset,sm2/shadowcaster,2.6,2.6
68,code_post_gfx_mp,  techset,techset,shadowcaster,2.5,2.5
69,code_post_gfx_mp,  techset,techset,sm2/cinematic,1.1,1.1
70,code_post_gfx_mp,  techset,techset,cinematic,1.0,1.0
71,code_post_gfx_mp,    menu,menu,error_popmenu,2.2,2.2
72,code_post_gfx_mp,    menu,menu,popup_gettingdata,5.4,5.4
73,code_post_gfx_mp,    menu,menu,error_popmenu_party,5.2,5.3
74,code_post_gfx_mp,    menu,menu,error_popmenu_lobby,5.0,5.0
75,code_post_gfx_mp,    menu,menu,popup_reconnectingtoparty,4.8,4.8
76,code_post_gfx_mp,    menu,menu,acceptinvite_warning,8.5,8.5
77,code_post_gfx_mp,    menu,menu,pregame_loaderror,2.3,2.3
78,code_post_gfx_mp,    menu,menu,pregame_loaderror_mp,1.9,1.9
79,code_post_gfx_mp,    menu,menu,connect,2.3,2.3
80,code_post_gfx_mp,  menufile,menufile,ui_mp/code.txt,0.1,37.9
81,code_post_gfx_mp,  xanim,xanim,void,16.3,16.3
82,code_post_gfx_mp,  xanim,xanim,void_loop,16.4,16.4
83,code_post_gfx_mp,  techset,techset,sm2/mc_l_sm_r0c0,30.1,30.1
84,code_post_gfx_mp,  techset,techset,sm2/mc_l_hsm_r0c0,12.2,12.2
85,code_post_gfx_mp,  techset,techset,mc_l_sm_r0c0,39.2,39.2
86,code_post_gfx_mp,  techset,techset,mc_l_hsm_r0c0,15.0,15.0
87,code_post_gfx_mp,  xmodel,xmodel,defaultactor,12.7,12.8
88,code_post_gfx_mp,  xmodel,xmodel,defaultvehicle,7.6,7.6
89,code_post_gfx_mp,  xmodel,xmodel,defaultweapon,1.1,1.1
90,code_post_gfx_mp,  techset,techset,mc_l_sm_r0c0s0,37.7,37.7
91,code_post_gfx_mp,  techset,techset,mc_l_hsm_r0c0s0,18.9,18.9
92,code_post_gfx_mp,  xmodel,xmodel,viewmodel_default,1.3,1.5
93,code_post_gfx_mp,  xmodel,xmodel,void,5.1,5.2
94,code_post_gfx_mp,  rawfile,rawfile,soundaliases/channels.def,1.4,1.4
95,code_post_gfx_mp,  rawfile,rawfile,mp/stats_init.cfg,1.3,1.3
96,code_post_gfx_mp,  rawfile,rawfile,mp/prestige_reset.cfg,1.1,1.1
97,code_post_gfx_mp,  rawfile,rawfile,mp/unlock_allperks.cfg,1.6,1.6
98,code_post_gfx_mp,  rawfile,rawfile,default_unlockable.cfg,2.3,2.3
99,code_post_gfx_mp,  rawfile,rawfile,mp/unlock_challenges.cfg,6.0,6.0
100,code_post_gfx_mp,  rawfile,rawfile,mp/weapon_perk_challenge_reset.cfg,20.3,20.3
101,code_post_gfx_mp,  rawfile,rawfile,ragdoll.cfg,7.7,7.7
102,code_post_gfx_mp,  rawfile,rawfile,mp/unlock_allweapon.cfg,2.8,2.8
103,code_post_gfx_mp,assetlist,assetlist,,105.5,1076.7
104,code_post_gfx_mp,xanim,xanim,(misc),1.7,1.7
105,code_post_gfx_mp,material,material,(misc),2.9,2.9
106,code_post_gfx_mp,techset,techset,(misc),30.5,30.5
107,code_post_gfx_mp,sound,sound,(misc),1.7,1.7
108,code_post_gfx_mp,localize,localize,(misc),43.5,43.5
109,code_post_gfx_mp,rawfile,rawfile,(misc),5.7,5.7
110,ui_mp,  rawfile,rawfile,mp/cod2maps.arena,1.7,1.7
111,ui_mp,    menu,menu,main,3.2,3.5
112,ui_mp,    menu,menu,main_text,37.4,37.4
113,ui_mp,    menu,menu,pc_cac_popup,18.1,18.1
114,ui_mp,    menu,menu,join_game_popup,6.3,6.3
115,ui_mp,    menu,menu,single_popmenu,6.8,6.8
116,ui_mp,    menu,menu,main_controls,23.7,23.7
117,ui_mp,    menu,menu,main_options,35.8,35.8
118,ui_mp,    menu,menu,options_voice,39.6,39.7
119,ui_mp,    menu,menu,options_multi,48.0,48.0
120,ui_mp,    menu,menu,controls_multi,41.6,41.6
121,ui_mp,    menu,menu,mods_menu,5.5,5.5
122,ui_mp,    menu,menu,vid_restart_popmenu_listen,4.4,4.4
123,ui_mp,    menu,menu,vid_restart_popmenu,6.7,6.7
124,ui_mp,    menu,menu,snd_restart_popmenu,6.7,6.7
125,ui_mp,    menu,menu,options_look,54.4,54.4
126,ui_mp,    menu,menu,options_move,60.6,60.6
127,ui_mp,    menu,menu,options_shoot,66.8,66.8
128,ui_mp,    menu,menu,options_misc,32.6,32.6
129,ui_mp,    menu,menu,options_graphics,67.9,67.9
130,ui_mp,    menu,menu,options_graphics_texture,52.9,52.9
131,ui_mp,    menu,menu,apply_picmip_popmenu,2.3,2.3
132,ui_mp,    menu,menu,options_game,48.5,48.5
133,ui_mp,    menu,menu,options_sound,40.7,40.7
134,ui_mp,    menu,menu,options_control_defaults,28.0,28.0
135,ui_mp,    menu,menu,options_graphics_defaults,38.0,38.0
136,ui_mp,    menu,menu,menu_cac_assault,160.6,160.8
137,ui_mp,    menu,menu,assault_popup_cac_primary,16.7,16.7
138,ui_mp,    menu,menu,assault_popup_cac_primary2,16.4,16.4
139,ui_mp,    menu,menu,assault_popup_cac_assault,119.3,119.3
140,ui_mp,    menu,menu,assault_popup_cac_lmg,56.7,56.7
141,ui_mp,    menu,menu,assault_popup_cac_smg,87.9,87.9
142,ui_mp,    menu,menu,assault_popup_cac_shotgun,41.3,41.3
143,ui_mp,    menu,menu,assault_popup_cac_sniper,88.0,88.0
144,ui_mp,    menu,menu,assault_popup_cac_assault2,112.2,112.2
145,ui_mp,    menu,menu,assault_popup_cac_lmg2,54.8,54.8
146,ui_mp,    menu,menu,assault_popup_cac_smg2,84.8,84.8
147,ui_mp,    menu,menu,assault_popup_cac_shotgun2,39.9,39.9
148,ui_mp,    menu,menu,assault_popup_cac_sniper2,84.8,84.8
149,ui_mp,    menu,menu,assault_attachment_popup_fake,11.3,11.3
150,ui_mp,    menu,menu,assault_attachment_popup_pistol,45.4,45.4
151,ui_mp,    menu,menu,assault_attachment_popup_assault,96.2,96.2
152,ui_mp,    menu,menu,assault_attachment_popup_lmg,69.7,69.7
153,ui_mp,    menu,menu,assault_attachment_popup_smg,67.0,67.0
154,ui_mp,    menu,menu,assault_attachment_popup_shotgun,52.7,52.7
155,ui_mp,    menu,menu,assault_attachment_popup_sniper,38.8,38.8
156,ui_mp,    menu,menu,assault_attachment_popup_assault2,89.2,89.2
157,ui_mp,    menu,menu,assault_attachment_popup_lmg2,68.8,68.8
158,ui_mp,    menu,menu,assault_attachment_popup_smg2,67.0,67.0
159,ui_mp,    menu,menu,assault_attachment_popup_shotgun2,52.7,52.7
160,ui_mp,    menu,menu,assault_attachment_popup_sniper2,38.5,38.5
161,ui_mp,    menu,menu,assault_popup_cac_secondary,105.1,105.1
162,ui_mp,    menu,menu,assault_popup_cac_camo,112.2,112.2
163,ui_mp,    menu,menu,assault_popup_cac_camo2,98.7,98.7
164,ui_mp,    menu,menu,assault_popup_cac_extra,33.2,33.2
165,ui_mp,    menu,menu,assault_popup_cac_perk1,92.0,92.0
166,ui_mp,    menu,menu,assault_popup_cac_perk2,108.9,108.9
167,ui_mp,    menu,menu,assault_popup_cac_perk3,104.3,104.3
168,ui_mp,    menu,menu,assault_popup_cac_template,13.7,13.7
169,ui_mp,    menu,menu,assault_popup_cac_defaultclasswarning_assault,7.8,7.8
170,ui_mp,    menu,menu,assault_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
171,ui_mp,    menu,menu,assault_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
172,ui_mp,    menu,menu,assault_popup_cac_defaultclasswarning_demolitions,7.7,7.7
173,ui_mp,    menu,menu,assault_popup_cac_defaultclasswarning_sniper,7.7,7.7
174,ui_mp,    menu,menu,assault_pc_rename,4.8,4.8
175,ui_mp,    menu,menu,saving_popup,2.3,2.3
176,ui_mp,    menu,menu,menu_cac_demolitions,159.8,159.8
177,ui_mp,    menu,menu,demolitions_popup_cac_primary,16.5,16.5
178,ui_mp,    menu,menu,demolitions_popup_cac_primary2,16.5,16.5
179,ui_mp,    menu,menu,demolitions_popup_cac_assault,115.2,115.2
180,ui_mp,    menu,menu,demolitions_popup_cac_lmg,54.9,54.9
181,ui_mp,    menu,menu,demolitions_popup_cac_smg,84.9,84.9
182,ui_mp,    menu,menu,demolitions_popup_cac_shotgun,40.0,40.0
183,ui_mp,    menu,menu,demolitions_popup_cac_sniper,85.0,85.0
184,ui_mp,    menu,menu,demolitions_popup_cac_assault2,112.5,112.5
185,ui_mp,    menu,menu,demolitions_popup_cac_lmg2,55.0,55.0
186,ui_mp,    menu,menu,demolitions_popup_cac_smg2,85.0,85.0
187,ui_mp,    menu,menu,demolitions_popup_cac_shotgun2,40.0,40.0
188,ui_mp,    menu,menu,demolitions_popup_cac_sniper2,85.0,85.0
189,ui_mp,    menu,menu,demolitions_attachment_popup_fake,11.3,11.3
190,ui_mp,    menu,menu,demolitions_attachment_popup_pistol,44.6,44.6
191,ui_mp,    menu,menu,demolitions_attachment_popup_assault,95.2,95.2
192,ui_mp,    menu,menu,demolitions_attachment_popup_lmg,68.8,68.8
193,ui_mp,    menu,menu,demolitions_attachment_popup_smg,67.0,67.0
194,ui_mp,    menu,menu,demolitions_attachment_popup_shotgun,52.7,52.7
195,ui_mp,    menu,menu,demolitions_attachment_popup_sniper,38.5,38.5
196,ui_mp,    menu,menu,demolitions_attachment_popup_assault2,89.1,89.1
197,ui_mp,    menu,menu,demolitions_attachment_popup_lmg2,68.8,68.8
198,ui_mp,    menu,menu,demolitions_attachment_popup_smg2,67.0,67.0
199,ui_mp,    menu,menu,demolitions_attachment_popup_shotgun2,52.7,52.7
200,ui_mp,    menu,menu,demolitions_attachment_popup_sniper2,38.5,38.5
201,ui_mp,    menu,menu,demolitions_popup_cac_secondary,103.1,103.1
202,ui_mp,    menu,menu,demolitions_popup_cac_camo,110.5,110.5
203,ui_mp,    menu,menu,demolitions_popup_cac_camo2,98.7,98.7
204,ui_mp,    menu,menu,demolitions_popup_cac_extra,32.5,32.5
205,ui_mp,    menu,menu,demolitions_popup_cac_perk1,88.3,88.3
206,ui_mp,    menu,menu,demolitions_popup_cac_perk2,105.0,105.0
207,ui_mp,    menu,menu,demolitions_popup_cac_perk3,99.8,99.8
208,ui_mp,    menu,menu,demolitions_popup_cac_template,13.6,13.6
209,ui_mp,    menu,menu,demolitions_popup_cac_defaultclasswarning_assault,7.7,7.7
210,ui_mp,    menu,menu,demolitions_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
211,ui_mp,    menu,menu,demolitions_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
212,ui_mp,    menu,menu,demolitions_popup_cac_defaultclasswarning_demolitions,7.7,7.7
213,ui_mp,    menu,menu,demolitions_popup_cac_defaultclasswarning_sniper,7.7,7.7
214,ui_mp,    menu,menu,demolitions_pc_rename,4.6,4.6
215,ui_mp,    menu,menu,menu_cac_heavygunner,159.8,159.8
216,ui_mp,    menu,menu,heavygunner_popup_cac_primary,16.5,16.5
217,ui_mp,    menu,menu,heavygunner_popup_cac_primary2,16.5,16.5
218,ui_mp,    menu,menu,heavygunner_popup_cac_assault,115.2,115.2
219,ui_mp,    menu,menu,heavygunner_popup_cac_lmg,54.9,54.9
220,ui_mp,    menu,menu,heavygunner_popup_cac_smg,84.9,84.9
221,ui_mp,    menu,menu,heavygunner_popup_cac_shotgun,40.0,40.0
222,ui_mp,    menu,menu,heavygunner_popup_cac_sniper,85.0,85.0
223,ui_mp,    menu,menu,heavygunner_popup_cac_assault2,112.5,112.5
224,ui_mp,    menu,menu,heavygunner_popup_cac_lmg2,55.0,55.0
225,ui_mp,    menu,menu,heavygunner_popup_cac_smg2,85.0,85.0
226,ui_mp,    menu,menu,heavygunner_popup_cac_shotgun2,40.0,40.0
227,ui_mp,    menu,menu,heavygunner_popup_cac_sniper2,85.0,85.0
228,ui_mp,    menu,menu,heavygunner_attachment_popup_fake,11.3,11.3
229,ui_mp,    menu,menu,heavygunner_attachment_popup_pistol,44.6,44.6
230,ui_mp,    menu,menu,heavygunner_attachment_popup_assault,95.2,95.2
231,ui_mp,    menu,menu,heavygunner_attachment_popup_lmg,68.8,68.8
232,ui_mp,    menu,menu,heavygunner_attachment_popup_smg,67.0,67.0
233,ui_mp,    menu,menu,heavygunner_attachment_popup_shotgun,52.7,52.7
234,ui_mp,    menu,menu,heavygunner_attachment_popup_sniper,38.5,38.5
235,ui_mp,    menu,menu,heavygunner_attachment_popup_assault2,89.1,89.1
236,ui_mp,    menu,menu,heavygunner_attachment_popup_lmg2,68.8,68.8
237,ui_mp,    menu,menu,heavygunner_attachment_popup_smg2,67.0,67.0
238,ui_mp,    menu,menu,heavygunner_attachment_popup_shotgun2,52.7,52.7
239,ui_mp,    menu,menu,heavygunner_attachment_popup_sniper2,38.5,38.5
240,ui_mp,    menu,menu,heavygunner_popup_cac_secondary,103.1,103.1
241,ui_mp,    menu,menu,heavygunner_popup_cac_camo,110.5,110.5
242,ui_mp,    menu,menu,heavygunner_popup_cac_camo2,98.7,98.7
243,ui_mp,    menu,menu,heavygunner_popup_cac_extra,32.5,32.5
244,ui_mp,    menu,menu,heavygunner_popup_cac_perk1,88.3,88.3
245,ui_mp,    menu,menu,heavygunner_popup_cac_perk2,105.0,105.0
246,ui_mp,    menu,menu,heavygunner_popup_cac_perk3,99.8,99.8
247,ui_mp,    menu,menu,heavygunner_popup_cac_template,13.6,13.6
248,ui_mp,    menu,menu,heavygunner_popup_cac_defaultclasswarning_assault,7.7,7.7
249,ui_mp,    menu,menu,heavygunner_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
250,ui_mp,    menu,menu,heavygunner_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
251,ui_mp,    menu,menu,heavygunner_popup_cac_defaultclasswarning_demolitions,7.7,7.7
252,ui_mp,    menu,menu,heavygunner_popup_cac_defaultclasswarning_sniper,7.7,7.7
253,ui_mp,    menu,menu,heavygunner_pc_rename,4.6,4.6
254,ui_mp,    menu,menu,menu_cac_sniper,159.7,159.7
255,ui_mp,    menu,menu,sniper_popup_cac_primary,16.4,16.4
256,ui_mp,    menu,menu,sniper_popup_cac_primary2,16.4,16.4
257,ui_mp,    menu,menu,sniper_popup_cac_assault,114.8,114.8
258,ui_mp,    menu,menu,sniper_popup_cac_lmg,54.8,54.8
259,ui_mp,    menu,menu,sniper_popup_cac_smg,84.7,84.7
260,ui_mp,    menu,menu,sniper_popup_cac_shotgun,39.9,39.9
261,ui_mp,    menu,menu,sniper_popup_cac_sniper,84.7,84.7
262,ui_mp,    menu,menu,sniper_popup_cac_assault2,112.1,112.1
263,ui_mp,    menu,menu,sniper_popup_cac_lmg2,54.8,54.8
264,ui_mp,    menu,menu,sniper_popup_cac_smg2,84.7,84.7
265,ui_mp,    menu,menu,sniper_popup_cac_shotgun2,39.9,39.9
266,ui_mp,    menu,menu,sniper_popup_cac_sniper2,84.8,84.8
267,ui_mp,    menu,menu,sniper_attachment_popup_fake,11.3,11.3
268,ui_mp,    menu,menu,sniper_attachment_popup_pistol,44.3,44.3
269,ui_mp,    menu,menu,sniper_attachment_popup_assault,94.5,94.5
270,ui_mp,    menu,menu,sniper_attachment_popup_lmg,68.6,68.6
271,ui_mp,    menu,menu,sniper_attachment_popup_smg,66.9,66.9
272,ui_mp,    menu,menu,sniper_attachment_popup_shotgun,52.7,52.7
273,ui_mp,    menu,menu,sniper_attachment_popup_sniper,38.5,38.5
274,ui_mp,    menu,menu,sniper_attachment_popup_assault2,88.7,88.7
275,ui_mp,    menu,menu,sniper_attachment_popup_lmg2,68.6,68.6
276,ui_mp,    menu,menu,sniper_attachment_popup_smg2,67.0,67.0
277,ui_mp,    menu,menu,sniper_attachment_popup_shotgun2,52.7,52.7
278,ui_mp,    menu,menu,sniper_attachment_popup_sniper2,38.5,38.5
279,ui_mp,    menu,menu,sniper_popup_cac_secondary,102.4,102.4
280,ui_mp,    menu,menu,sniper_popup_cac_camo,109.4,109.4
281,ui_mp,    menu,menu,sniper_popup_cac_camo2,98.7,98.7
282,ui_mp,    menu,menu,sniper_popup_cac_extra,32.5,32.5
283,ui_mp,    menu,menu,sniper_popup_cac_perk1,88.3,88.3
284,ui_mp,    menu,menu,sniper_popup_cac_perk2,105.0,105.0
285,ui_mp,    menu,menu,sniper_popup_cac_perk3,99.8,99.8
286,ui_mp,    menu,menu,sniper_popup_cac_template,13.6,13.6
287,ui_mp,    menu,menu,sniper_popup_cac_defaultclasswarning_assault,7.7,7.7
288,ui_mp,    menu,menu,sniper_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
289,ui_mp,    menu,menu,sniper_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
290,ui_mp,    menu,menu,sniper_popup_cac_defaultclasswarning_demolitions,7.7,7.7
291,ui_mp,    menu,menu,sniper_popup_cac_defaultclasswarning_sniper,7.7,7.7
292,ui_mp,    menu,menu,sniper_pc_rename,4.6,4.6
293,ui_mp,    menu,menu,menu_cac_specops,159.7,159.7
294,ui_mp,    menu,menu,specops_popup_cac_primary,16.4,16.4
295,ui_mp,    menu,menu,specops_popup_cac_primary2,16.4,16.4
296,ui_mp,    menu,menu,specops_popup_cac_assault,114.9,114.9
297,ui_mp,    menu,menu,specops_popup_cac_lmg,54.8,54.8
298,ui_mp,    menu,menu,specops_popup_cac_smg,84.7,84.7
299,ui_mp,    menu,menu,specops_popup_cac_shotgun,39.9,39.9
300,ui_mp,    menu,menu,specops_popup_cac_sniper,84.8,84.8
301,ui_mp,    menu,menu,specops_popup_cac_assault2,112.2,112.2
302,ui_mp,    menu,menu,specops_popup_cac_lmg2,54.8,54.8
303,ui_mp,    menu,menu,specops_popup_cac_smg2,84.8,84.8
304,ui_mp,    menu,menu,specops_popup_cac_shotgun2,39.9,39.9
305,ui_mp,    menu,menu,specops_popup_cac_sniper2,84.8,84.8
306,ui_mp,    menu,menu,specops_attachment_popup_fake,11.3,11.3
307,ui_mp,    menu,menu,specops_attachment_popup_pistol,44.3,44.3
308,ui_mp,    menu,menu,specops_attachment_popup_assault,94.6,94.6
309,ui_mp,    menu,menu,specops_attachment_popup_lmg,68.6,68.6
310,ui_mp,    menu,menu,specops_attachment_popup_smg,67.0,67.0
311,ui_mp,    menu,menu,specops_attachment_popup_shotgun,52.7,52.7
312,ui_mp,    menu,menu,specops_attachment_popup_sniper,38.5,38.5
313,ui_mp,    menu,menu,specops_attachment_popup_assault2,88.8,88.8
314,ui_mp,    menu,menu,specops_attachment_popup_lmg2,68.6,68.6
315,ui_mp,    menu,menu,specops_attachment_popup_smg2,67.0,67.0
316,ui_mp,    menu,menu,specops_attachment_popup_shotgun2,52.7,52.7
317,ui_mp,    menu,menu,specops_attachment_popup_sniper2,38.5,38.5
318,ui_mp,    menu,menu,specops_popup_cac_secondary,102.5,102.5
319,ui_mp,    menu,menu,specops_popup_cac_camo,109.6,109.6
320,ui_mp,    menu,menu,specops_popup_cac_camo2,98.7,98.7
321,ui_mp,    menu,menu,specops_popup_cac_extra,32.5,32.5
322,ui_mp,    menu,menu,specops_popup_cac_perk1,88.3,88.3
323,ui_mp,    menu,menu,specops_popup_cac_perk2,105.0,105.0
324,ui_mp,    menu,menu,specops_popup_cac_perk3,99.8,99.8
325,ui_mp,    menu,menu,specops_popup_cac_template,13.6,13.6
326,ui_mp,    menu,menu,specops_popup_cac_defaultclasswarning_assault,7.7,7.7
327,ui_mp,    menu,menu,specops_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
328,ui_mp,    menu,menu,specops_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
329,ui_mp,    menu,menu,specops_popup_cac_defaultclasswarning_demolitions,7.7,7.7
330,ui_mp,    menu,menu,specops_popup_cac_defaultclasswarning_sniper,7.7,7.7
331,ui_mp,    menu,menu,specops_pc_rename,4.6,4.6
332,ui_mp,    menu,menu,menu_challenges,99.3,99.3
333,ui_mp,    menu,menu,popup_tier,383.6,383.6
334,ui_mp,    menu,menu,pc_join_unranked,41.7,41.9
335,ui_mp,    menu,menu,createserver,53.2,53.2
336,ui_mp,    menu,menu,password_popmenu,7.0,7.0
337,ui_mp,    menu,menu,serverinfo_popmenu,6.3,6.3
338,ui_mp,    menu,menu,createfavorite_popmenu,7.6,7.6
339,ui_mp,    menu,menu,fav_message_popmenu,4.3,4.3
340,ui_mp,    menu,menu,del_fav_popmenu,6.6,6.6
341,ui_mp,    menu,menu,filter_popmenu,33.6,33.6
342,ui_mp,    menu,menu,auconfirm,3.7,3.7
343,ui_mp,    menu,menu,startpb_popmenu,3.3,3.4
344,ui_mp,    menu,menu,joinpb_popmenu,3.3,3.3
345,ui_mp,    menu,menu,cdkey_menu,10.9,10.9
346,ui_mp,    menu,menu,player_profile,9.1,9.1
347,ui_mp,    menu,menu,profile_create_popmenu,7.2,7.2
348,ui_mp,    menu,menu,profile_must_create_popmenu,4.3,4.3
349,ui_mp,    menu,menu,profile_del_sure_popmenu,6.7,6.7
350,ui_mp,    menu,menu,profile_exists_popmenu,4.3,4.3
351,ui_mp,    menu,menu,profile_create_fail_popmenu,4.3,4.3
352,ui_mp,    menu,menu,profile_create_too_many_popmenu,4.3,4.3
353,ui_mp,    menu,menu,profile_delete_fail_popmenu,4.3,4.3
354,ui_mp,    menu,menu,language_restart_popmenu,3.2,3.2
355,ui_mp,    menu,menu,quit_popmenu,6.6,6.6
356,ui_mp,    menu,menu,settings_dm,2.1,2.1
357,ui_mp,    menu,menu,settings_tdm,2.0,2.0
358,ui_mp,    menu,menu,settings_ctf,2.0,2.0
359,ui_mp,    menu,menu,settings_hq,2.0,2.0
360,ui_mp,    menu,menu,settings_sd,4.6,4.6
361,ui_mp,    menu,menu,settings_sw,5.4,5.4
362,ui_mp,  menufile,menufile,ui_mp/menus.txt,1.0,13233.3
363,ui_mp,assetlist,assetlist,,0.9,13240.2
364,ui_mp,material,material,(misc),4.3,4.3
365,common_mp,  string,string,,11.3,11.3
366,common_mp,  xanim,xanim,pl_crouchturn_90left,5.0,5.0
367,common_mp,  xanim,xanim,pl_crouchturn_90right,5.1,5.1
368,common_mp,  xanim,xanim,pb_crouch_pain_holdstomach,14.2,14.2
369,common_mp,  xanim,xanim,pb_prone_painb_holdhead,22.9,22.9
370,common_mp,  xanim,xanim,pb_prone_paina_holdchest,31.7,31.7
371,common_mp,  xanim,xanim,pb_stumble_grenade_back,8.4,8.4
372,common_mp,  xanim,xanim,pb_stumble_grenade_forward,10.3,10.3
373,common_mp,  xanim,xanim,pb_stumble_grenade_left,10.4,10.4
374,common_mp,  xanim,xanim,pb_stumble_grenade_right,10.4,10.4
